epoch,loss
0,9457.5341
1,8519.7684
2,7735.1957
3,6954.1331
4,6222.1317
5,5580.3831
6,4983.1476
7,4358.8785
8,3894.4727
9,3363.8972
10,2935.1037
11,2549.6569
12,2165.2539
13,1876.3645
14,1600.0061
15,1352.3861
16,1157.6680
17,1001.8629
18,816.7555
19,711.9176
20,595.0230
21,514.5607
22,439.0168
23,374.4041
24,323.1923
25,276.4126
26,239.6253
27,212.3272
28,187.8233
29,165.9465
30,145.6626
31,131.4825
32,118.5682
33,106.3342
34,97.0788
35,89.6734
36,82.9722
37,77.0073
38,72.6775
39,68.6547
40,65.5113
41,62.7928
42,60.3513
43,58.5283
44,56.7736
45,55.2728
46,54.0958
47,52.6286
48,51.3939
49,50.3866
50,49.3224
51,48.0848
52,47.1347
53,46.3665
54,45.5442
55,44.6722
56,43.9259
57,43.4136
58,42.7005
59,42.1134
60,41.4944
61,41.0503
62,40.5471
63,40.1023
64,39.5757
65,39.1966
66,38.6833
67,38.3823
68,37.9685
69,37.7951
70,37.3067
71,37.0029
72,36.7245
73,36.5418
74,36.1079
75,35.9306
76,35.6582
77,35.3317
78,35.2319
79,35.5821
80,34.7283
81,34.7765
82,34.3110
83,34.2842
84,34.0439
85,33.8949
86,33.6668
87,33.4563
88,33.4109
89,33.2492
90,33.0304
91,39.4826
92,32.8323
93,32.6961
94,32.4263
95,32.4913
96,32.4470
97,32.2067
98,32.0911
99,31.9570
100,32.0115
101,31.6707
102,31.7280
103,31.6663
104,31.5829
105,31.4288
106,32.3285
107,31.2835
108,31.2492
109,31.1527
110,30.9576
111,30.9428
112,31.1586
113,30.8836
114,30.7505
115,30.6240
116,30.6313
117,31.8804
118,30.3982
119,30.4831
120,30.4845
121,30.2823
122,30.5779
123,30.2904
124,30.0040
125,30.9727
126,30.0637
127,29.9665
128,30.0660
129,29.8451
130,30.1048
131,29.7640
132,29.6522
133,29.7968
134,29.5112
135,29.5923
136,29.7392
137,29.9938
138,29.4923
139,29.5231
140,29.3208
141,29.3532
142,29.6005
143,29.2595
144,30.0131
145,29.3415
146,29.1745
147,29.0952
148,29.1216
149,28.9766
150,28.7967
151,28.9494
152,28.9680
153,28.9339
154,28.8633
155,28.9396
156,28.8138
157,28.7724
158,28.5637
159,28.6304
160,28.5960
161,32.2564
162,28.8088
163,28.4252
164,28.3246
165,28.4073
166,28.4307
167,28.4530
168,28.2939
169,28.3413
170,28.3964
171,28.2288
172,28.2115
173,28.1544
174,28.0357
175,42.7524
176,28.1243
177,28.0326
178,27.9850
179,37.1789
180,28.0176
181,27.8346
182,27.8711
183,48.5509
184,41.0399
185,28.8015
186,27.6962
187,28.0007
188,27.8228
189,27.5189
190,27.7480
191,27.8169
192,27.6813
193,29.1472
194,27.6266
195,27.5757
196,27.4990
197,27.3396
198,27.7903
199,27.5600
200,27.2357
201,27.4245
202,27.5364
203,27.2241
204,27.2851
205,27.3174
206,27.1578
207,27.5390
208,27.4717
209,27.3367
210,27.1849
211,27.0740
212,27.0877
213,26.9024
214,26.9628
215,26.9249
216,26.9223
217,26.8305
218,29.0137
219,26.7104
220,26.8922
221,26.8650
