epoch,loss
0,38.2829
1,31.9792
2,27.7237
3,24.2842
4,21.6684
5,19.6635
6,18.0861
7,17.0816
8,16.3745
9,15.9148
10,15.5137
11,15.2271
12,14.9520
13,14.7239
14,14.4982
15,14.2686
16,14.1318
17,13.9106
18,13.6940
19,13.5351
20,13.3011
21,13.0035
22,12.7907
23,12.5278
24,12.5696
25,12.1277
26,12.0719
27,12.1961
28,12.0694
29,11.7837
30,11.8932
31,11.6142
32,11.5388
33,11.5644
34,11.4869
35,11.4306
36,11.6394
37,11.2784
38,11.2381
39,11.1877
40,11.2007
41,11.3393
42,11.1478
43,11.2449
44,11.1363
45,11.2653
46,11.0901
47,11.2086
48,11.1069
49,11.0390
50,11.0202
51,10.9332
52,10.9586
53,11.0519
54,11.0474
55,11.3288
56,10.9485
57,11.1050
58,10.9224
59,10.9363
60,10.9061
61,10.8715
62,10.9070
63,10.8255
64,10.8397
65,10.8062
66,10.7719
67,10.8155
68,10.8906
69,10.8701
70,10.7797
71,10.6016
72,11.0665
73,11.1361
74,10.9911
75,10.9468
76,11.0306
77,12.0800
78,10.6367
79,10.5054
80,10.4951
81,10.4539
82,10.3970
83,10.4456
84,10.3452
85,10.3502
86,10.2285
87,10.2188
88,10.3129
89,10.2654
90,10.3155
91,10.1883
92,10.2353
93,10.1936
94,10.2267
95,10.6496
96,10.5864
97,10.1754
98,10.1789
99,10.1700
100,10.1579
101,10.0909
102,10.0737
103,10.0783
104,10.0279
105,10.0384
106,10.0157
107,10.6846
108,10.4996
109,10.0004
110,10.0116
111,9.9942
112,9.9499
113,10.0070
114,9.9455
115,10.0768
116,9.9341
117,10.3263
118,9.9295
119,9.9154
120,9.8463
121,10.0969
122,10.0088
123,9.8755
124,10.1121
125,9.8453
126,9.8256
127,9.8826
128,9.9443
129,9.9547
130,9.8882
131,9.7891
132,10.4428
133,9.9735
134,9.7651
135,9.8011
136,9.7261
137,9.8065
138,9.8347
139,9.7790
140,10.0113
141,9.7403
142,9.7304
143,9.7207
144,9.7348
145,9.8403
146,9.7639
147,9.7009
148,9.6634
149,9.6626
150,10.0481
151,9.6537
152,9.6494
153,9.6195
154,9.6447
155,9.6391
156,9.5547
157,9.8306
158,9.5406
159,9.9417
160,9.9611
161,9.5910
162,9.5928
163,9.6268
164,9.5996
165,9.7725
166,9.6107
167,9.8378
168,9.5130
169,9.5304
170,9.5473
171,9.5328
172,10.5447
173,13.2042
174,9.6634
175,9.5913
176,9.4486
177,9.9120
178,9.4663
179,9.4382
180,9.5779
181,9.5552
182,9.6982
183,9.5826
184,9.6542
185,9.6894
186,9.5149
187,9.7948
188,9.4704
189,9.4616
190,9.4745
191,9.4176
192,9.4169
193,9.5102
194,9.4915
195,9.4841
196,9.3396
197,9.3567
198,9.3466
199,10.2842
200,10.2922
201,9.4297
202,9.4312
203,9.3704
204,9.4822
205,9.7410
206,9.6017
207,9.3240
208,9.3809
209,9.4473
210,9.3657
211,9.4050
212,9.3889
213,9.3208
214,9.4298
215,9.3821
216,9.3702
217,9.3897
218,9.3377
219,9.3121
220,9.8590
221,9.4095
222,9.3028
223,9.4819
224,9.4781
225,9.2649
226,9.3998
227,9.2956
228,9.3877
229,9.3131
230,9.3208
231,9.2534
232,9.2810
233,9.2230
234,9.5021
235,9.2788
236,9.2615
237,9.2285
238,9.2484
239,9.2463
240,9.5161
241,9.3038
242,9.2878
243,9.1851
244,9.2187
245,9.3127
246,9.2634
247,9.3384
248,9.1794
249,9.2598
250,9.5190
251,9.2188
252,9.3599
253,9.3835
254,9.2303
255,9.2778
256,9.2250
257,9.2324
258,9.2439
259,9.2211
260,9.2220
261,9.1564
262,9.2289
263,9.1758
264,9.1771
265,9.3594
266,9.1776
267,9.2695
268,9.2501
269,9.1291
270,9.3707
271,9.1122
272,9.2800
273,9.2964
274,9.1128
275,9.1892
276,9.5543
277,9.1199
278,9.6473
279,9.1374
280,9.1331
281,9.2011
282,9.0952
283,9.1702
284,9.2564
285,9.2066
286,9.1747
287,9.0882
288,9.1911
289,9.1539
290,9.1073
291,9.1197
292,9.1246
293,9.8491
294,9.1660
295,9.4287
296,9.1243
297,9.0727
298,9.2765
299,9.5075
300,9.5511
301,9.3165
302,9.7544
303,9.1715
304,9.2451
305,9.0877
306,9.1269
307,9.1964
308,10.0932
309,9.1377
310,9.1551
311,9.1269
312,9.3757
313,9.6657
314,9.1555
315,9.5353
316,9.1827
317,10.0395
318,10.6323
319,9.3508
320,9.3853
321,9.4154
322,9.6271
323,9.3312
324,9.5899
325,9.3459
326,9.4190
327,9.2585
328,9.3406
329,9.8915
330,9.2834
331,9.3509
332,9.2569
333,9.5111
334,9.4636
335,9.3135
336,9.3776
337,9.2844
338,9.9371
339,9.3369
340,9.3873
341,9.2929
342,9.3041
343,9.3577
344,9.2920
345,9.2949
346,9.2458
347,9.2242
348,9.4981
349,11.0432
350,9.2370
351,9.3217
352,9.5456
353,9.2767
354,9.2556
355,11.0785
356,9.2285
357,9.1294
358,9.6794
359,9.0935
360,9.0909
361,9.0899
362,9.0521
363,9.0666
364,9.0841
365,12.8707
366,9.3324
367,9.3375
368,9.1524
369,9.1186
370,9.5455
371,9.1981
372,9.5711
373,9.2209
374,9.1458
375,9.5723
376,9.3135
377,9.8688
378,9.2133
379,9.1405
380,9.9468
381,9.2902
382,9.1650
383,9.0947
384,9.1587
385,9.1930
386,9.3055
387,9.1583
388,9.2527
389,9.1702
390,9.0362
391,9.1490
392,9.0994
393,9.0857
394,9.0018
395,9.0519
396,9.0701
397,8.9971
398,9.7473
399,9.1481
400,9.1358
401,9.8958
402,9.0961
403,9.1556
404,9.2535
405,9.3651
406,9.2052
407,9.0935
408,9.0978
409,9.1635
410,9.1774
411,9.0570
412,9.1399
413,9.0162
414,9.8852
415,9.1840
416,9.5590
417,9.2093
418,9.0186
419,9.2331
420,9.3893
421,8.9898
422,9.0140
423,9.1785
424,9.6166
425,9.0087
426,9.0875
427,9.3816
428,9.2384
429,9.1597
430,9.7274
431,9.1280
432,9.0813
433,8.9713
434,9.0477
435,9.0198
436,9.3726
437,14.1306
438,8.9359
439,8.9202
440,8.9602
441,8.9700
442,9.1919
443,9.9473
444,8.9835
445,9.3052
446,8.9356
447,9.1254
448,9.1614
449,8.9680
450,8.9991
451,8.9620
