method,scenario_id,scenario,n,eta,alpha_share,n_reps,p_c,ATE_est_mean,ATE_est_sd,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
lsem_i,40,n1000_eta10_share50_pc50,1000,10,0.500000,100,0.500000,0.173453,0.039409,0.173453,0.039409,0.177830,0.212392,0.101457,0.212392,0.101457,0.235161,-0.179783,0.080043,-0.179783,0.080043,0.196634,0.353236,0.065086,0.353236,0.065086,0.359123,-0.038939,0.101661,-0.038939,0.101661,0.108387
dml,1,n500_eta1_share10_pc10,500,1,0.100000,100,0.100000,0.033636,0.118118,0.033636,0.118118,0.122244,-0.013576,0.133233,-0.013576,0.133233,0.133258,0.016029,0.149204,0.016029,0.149204,0.149319,0.017607,0.120671,0.017607,0.120671,0.121350,0.047212,0.094749,0.047212,0.094749,0.105435
dml,2,n1000_eta1_share10_pc10,1000,1,0.100000,100,0.100000,0.056747,0.088646,0.056747,0.088646,0.104879,0.000564,0.080960,0.000564,0.080960,0.080556,0.025795,0.090960,0.025795,0.090960,0.094108,0.030952,0.064650,0.030952,0.064650,0.071385,0.056183,0.054690,0.056183,0.054690,0.078215
dml,3,n500_eta10_share10_pc10,500,10,0.100000,100,0.100000,0.027868,0.134205,0.027868,0.134205,0.136409,-0.028594,0.140265,-0.028594,0.140265,0.142461,0.054532,0.140018,0.054532,0.140018,0.149609,-0.026664,0.126538,-0.026664,0.126538,0.128696,0.056462,0.116627,0.056462,0.116627,0.129049
dml,4,n1000_eta10_share10_pc10,1000,10,0.100000,100,0.100000,0.029361,0.083917,0.029361,0.083917,0.088508,-0.006812,0.085374,-0.006812,0.085374,0.085219,0.030244,0.078988,0.030244,0.078988,0.084210,-0.000883,0.073604,-0.000883,0.073604,0.073240,0.036173,0.064583,0.036173,0.064583,0.073741
dml,5,n500_eta1_share50_pc10,500,1,0.500000,100,0.100000,0.044888,0.137599,0.044888,0.137599,0.144080,0.027692,0.266514,0.027692,0.266514,0.266620,-0.001686,0.170032,-0.001686,0.170032,0.169188,0.046574,0.136206,0.046574,0.136206,0.143303,0.017197,0.255920,0.017197,0.255920,0.255217
dml,6,n1000_eta1_share50_pc10,1000,1,0.500000,100,0.100000,0.064626,0.086232,0.064626,0.086232,0.107416,0.040809,0.085349,0.040809,0.085349,0.094218,-0.001904,0.094851,-0.001904,0.094851,0.094395,0.066530,0.079600,0.066530,0.079600,0.103437,0.023817,0.051443,0.023817,0.051443,0.056455
dml,7,n500_eta10_share50_pc10,500,10,0.500000,100,0.100000,0.018604,0.128016,0.018604,0.128016,0.128726,-0.079202,0.303663,-0.079202,0.303663,0.312349,0.009108,0.158874,0.009108,0.158874,0.158340,0.009496,0.135298,0.009496,0.135298,0.134954,0.097805,0.299859,0.097805,0.299859,0.313978
dml,8,n1000_eta10_share50_pc10,1000,10,0.500000,100,0.100000,0.039083,0.082768,0.039083,0.082768,0.091156,-0.016258,0.090732,-0.016258,0.090732,0.091729,0.023742,0.089609,0.023742,0.089609,0.092266,0.015341,0.070583,0.015341,0.070583,0.071885,0.055341,0.052952,0.055341,0.052952,0.076410
dml,9,n500_eta1_share10_pc20,500,1,0.100000,100,0.200000,0.029060,0.123868,0.029060,0.123868,0.126626,-0.014350,0.132911,-0.014350,0.132911,0.133021,-0.008883,0.143172,-0.008883,0.143172,0.142731,0.037943,0.098320,0.037943,0.098320,0.104927,0.043410,0.093153,0.043410,0.093153,0.102348
dml,10,n1000_eta1_share10_pc20,1000,1,0.100000,100,0.200000,0.024676,0.075981,0.024676,0.075981,0.079525,-0.016650,0.085624,-0.016650,0.085624,0.086807,0.018483,0.095777,0.018483,0.095777,0.097073,0.006193,0.081978,0.006193,0.081978,0.081802,0.041326,0.051229,0.041326,0.051229,0.065620
dml,11,n500_eta10_share10_pc20,500,10,0.100000,100,0.200000,-0.006259,0.132658,-0.006259,0.132658,0.132141,-0.074881,0.169004,-0.074881,0.169004,0.184075,0.021701,0.154760,0.021701,0.154760,0.155506,-0.027960,0.122390,-0.027960,0.122390,0.124945,0.068621,0.118643,0.068621,0.118643,0.136544
dml,12,n1000_eta10_share10_pc20,1000,10,0.100000,100,0.200000,0.016254,0.069635,0.016254,0.069635,0.071167,-0.055621,0.093830,-0.055621,0.093830,0.108673,0.041945,0.084443,0.041945,0.084443,0.093908,-0.025691,0.059430,-0.025691,0.059430,0.064472,0.071876,0.085229,0.071876,0.085229,0.111164
dml,13,n500_eta1_share50_pc20,500,1,0.500000,100,0.200000,0.023662,0.120729,0.023662,0.120729,0.122432,0.011778,0.133547,0.011778,0.133547,0.133398,0.002795,0.147643,0.002795,0.147643,0.146929,0.020867,0.144462,0.020867,0.144462,0.145244,0.011884,0.087827,0.011884,0.087827,0.088191
dml,14,n1000_eta1_share50_pc20,1000,1,0.500000,100,0.200000,0.017795,0.076658,0.017795,0.076658,0.078322,0.003700,0.075426,0.003700,0.075426,0.075139,0.006188,0.090768,0.006188,0.090768,0.090525,0.011607,0.073651,0.011607,0.073651,0.074196,0.014094,0.047447,0.014094,0.047447,0.049268
dml,15,n500_eta10_share50_pc20,500,10,0.500000,100,0.200000,0.023740,0.123768,0.023740,0.123768,0.125415,-0.205763,1.738243,-0.205763,1.738243,1.741727,0.002475,0.151679,0.002475,0.151679,0.150939,0.021266,0.131078,0.021266,0.131078,0.132143,0.229503,1.737776,0.229503,1.737776,1.744230
dml,16,n1000_eta10_share50_pc20,1000,10,0.500000,100,0.200000,0.003235,0.063261,0.003235,0.063261,0.063027,-0.071244,0.083443,-0.071244,0.083443,0.109402,0.008303,0.087257,0.008303,0.087257,0.087215,-0.005068,0.079810,-0.005068,0.079810,0.079572,0.074480,0.071186,0.074480,0.071186,0.102781
dml,17,n500_eta1_share10_pc30,500,1,0.100000,100,0.300000,0.005611,0.115623,0.005611,0.115623,0.115180,-0.043343,0.120662,-0.043343,0.120662,0.127641,-0.030722,0.144126,-0.030722,0.144126,0.146657,0.036332,0.112042,0.036332,0.112042,0.117251,0.048954,0.081943,0.048954,0.081943,0.095100
dml,18,n1000_eta1_share10_pc30,1000,1,0.100000,100,0.300000,0.011584,0.067117,0.011584,0.067117,0.067777,-0.029297,0.084558,-0.029297,0.084558,0.089089,0.007476,0.101827,0.007476,0.101827,0.101592,0.004108,0.075181,0.004108,0.075181,0.074917,0.040882,0.060213,0.040882,0.060213,0.072530
dml,19,n500_eta10_share10_pc30,500,10,0.100000,100,0.300000,0.043762,0.120848,0.043762,0.120848,0.127958,-0.048153,0.147289,-0.048153,0.147289,0.154259,0.030336,0.133589,0.030336,0.133589,0.136337,0.013426,0.110434,0.013426,0.110434,0.110697,0.091915,0.099984,0.091915,0.099984,0.135445
dml,20,n1000_eta10_share10_pc30,1000,10,0.100000,100,0.300000,0.083026,0.079553,0.083026,0.079553,0.114711,0.001440,0.103282,0.001440,0.103282,0.102774,0.065601,0.072794,0.065601,0.072794,0.097722,0.017425,0.061664,0.017425,0.061664,0.063781,0.081586,0.080447,0.081586,0.080447,0.114294
dml,21,n500_eta1_share50_pc30,500,1,0.500000,100,0.300000,0.042497,0.108319,0.042497,0.108319,0.115852,0.069700,0.692843,0.069700,0.692843,0.692885,0.023788,0.263624,0.023788,0.263624,0.263379,0.018709,0.257761,0.018709,0.257761,0.257150,-0.027203,0.696514,-0.027203,0.696514,0.693556
dml,22,n1000_eta1_share50_pc30,1000,1,0.500000,100,0.300000,0.034527,0.077758,0.034527,0.077758,0.084723,0.005708,0.077111,0.005708,0.077111,0.076936,0.024693,0.086873,0.024693,0.086873,0.089895,0.009834,0.074666,0.009834,0.074666,0.074940,0.028819,0.066908,0.028819,0.066908,0.072543
dml,23,n500_eta10_share50_pc30,500,10,0.500000,100,0.300000,0.038956,0.121935,0.038956,0.121935,0.127425,-0.043853,0.205055,-0.043853,0.205055,0.208686,0.043513,0.897226,0.043513,0.897226,0.893789,-0.004557,0.886503,-0.004557,0.886503,0.882072,0.082809,0.167263,0.082809,0.167263,0.185888
dml,24,n1000_eta10_share50_pc30,1000,10,0.500000,100,0.300000,0.059332,0.084433,0.059332,0.084433,0.102849,-0.032926,0.120076,-0.032926,0.120076,0.123928,0.022267,0.097875,0.022267,0.097875,0.099898,0.037066,0.077512,0.037066,0.077512,0.085568,0.092258,0.081211,0.092258,0.081211,0.122641
dml,25,n500_eta1_share10_pc40,500,1,0.100000,100,0.400000,0.020359,0.096920,0.020359,0.096920,0.098560,-0.057100,0.148099,-0.057100,0.148099,0.158032,-0.002743,0.115798,-0.002743,0.115798,0.115250,0.023102,0.097638,0.023102,0.097638,0.099857,0.077459,0.115262,0.077459,0.115262,0.138392
dml,26,n1000_eta1_share10_pc40,1000,1,0.100000,100,0.400000,0.046760,0.060069,0.046760,0.060069,0.075887,-0.001435,0.093789,-0.001435,0.093789,0.093330,0.040050,0.099172,0.040050,0.099172,0.106493,0.006710,0.077836,0.006710,0.077836,0.077736,0.048195,0.059034,0.048195,0.059034,0.075980
dml,27,n500_eta10_share10_pc40,500,10,0.100000,100,0.400000,0.139507,0.108190,0.139507,0.108190,0.176211,0.012890,0.156285,0.012890,0.156285,0.156035,0.047366,0.116617,0.047366,0.116617,0.125328,0.092141,0.123462,0.092141,0.123462,0.153559,0.126617,0.120584,0.126617,0.120584,0.174434
dml,28,n1000_eta10_share10_pc40,1000,10,0.100000,100,0.400000,0.168400,0.096605,0.168400,0.096605,0.193901,0.066918,0.110806,0.066918,0.110806,0.128970,0.075631,0.087259,0.075631,0.087259,0.115143,0.092769,0.080906,0.092769,0.080906,0.122827,0.101482,0.088238,0.101482,0.088238,0.134189
dml,29,n500_eta1_share50_pc40,500,1,0.500000,100,0.400000,0.058623,0.108377,0.058623,0.108377,0.122738,0.029276,0.127646,0.029276,0.127646,0.130336,0.085209,0.180735,0.085209,0.180735,0.198995,-0.026586,0.166812,-0.026586,0.166812,0.168091,0.029347,0.084494,0.029347,0.084494,0.089045
dml,30,n1000_eta1_share50_pc40,1000,1,0.500000,100,0.400000,0.058354,0.064315,0.058354,0.064315,0.086604,0.045290,0.079355,0.045290,0.079355,0.091024,0.046867,0.068882,0.046867,0.068882,0.083029,0.011488,0.066964,0.011488,0.066964,0.067611,0.013064,0.059905,0.013064,0.059905,0.061020
dml,31,n500_eta10_share50_pc40,500,10,0.500000,100,0.400000,0.164586,0.125330,0.164586,0.125330,0.206492,0.041435,0.161071,0.041435,0.161071,0.165534,-0.102781,1.485127,-0.102781,1.485127,1.481253,0.267367,1.487377,0.267367,1.487377,1.503879,0.123151,0.128713,0.123151,0.128713,0.177672
dml,32,n1000_eta10_share50_pc40,1000,10,0.500000,100,0.400000,0.166562,0.102287,0.166562,0.102287,0.195194,0.076468,0.114907,0.076468,0.114907,0.137546,0.039009,0.097061,0.039009,0.097061,0.104156,0.127553,0.110601,0.127553,0.110601,0.168463,0.090094,0.091760,0.090094,0.091760,0.128268
dml,33,n500_eta1_share10_pc50,500,1,0.100000,100,0.500000,0.028645,0.093940,0.028645,0.093940,0.097760,-0.036741,0.125982,-0.036741,0.125982,0.130624,-0.014570,0.126575,-0.014570,0.126575,0.126781,0.043215,0.084094,0.043215,0.084094,0.094173,0.065386,0.103484,0.065386,0.103484,0.121972
dml,34,n1000_eta1_share10_pc50,1000,1,0.100000,100,0.500000,0.045064,0.063831,0.045064,0.063831,0.077875,0.010725,0.095160,0.010725,0.095160,0.095288,0.032686,0.101564,0.032686,0.101564,0.106209,0.012379,0.079770,0.012379,0.079770,0.080329,0.034340,0.061399,0.034340,0.061399,0.070081
dml,35,n500_eta10_share10_pc50,500,10,0.100000,100,0.500000,0.199387,0.137680,0.199387,0.137680,0.241912,0.058600,0.168007,0.058600,0.168007,0.177138,0.083840,0.129810,0.083840,0.129810,0.153985,0.115546,0.145339,0.115546,0.145339,0.185103,0.140787,0.132889,0.140787,0.132889,0.193142
dml,36,n1000_eta10_share10_pc50,1000,10,0.100000,100,0.500000,0.190247,0.114397,0.190247,0.114397,0.221698,0.099414,0.108353,0.099414,0.108353,0.146650,0.080517,0.090142,0.080517,0.090142,0.120530,0.109730,0.103267,0.109730,0.103267,0.150326,0.090833,0.088329,0.090833,0.088329,0.126391
dml,37,n500_eta1_share50_pc50,500,1,0.500000,100,0.500000,0.079489,0.095504,0.079489,0.095504,0.123889,0.062125,0.137111,0.062125,0.137111,0.149903,0.143234,1.019443,0.143234,1.019443,1.024396,-0.063745,1.015861,-0.063745,1.015861,1.012777,0.017364,0.086085,0.017364,0.086085,0.087396
dml,38,n1000_eta1_share50_pc50,1000,1,0.500000,100,0.500000,0.075175,0.062853,0.075175,0.062853,0.097787,0.065999,0.083820,0.065999,0.083820,0.106355,0.056501,0.067355,0.056501,0.067355,0.087656,0.018675,0.067791,0.018675,0.067791,0.069989,0.009176,0.060858,0.009176,0.060858,0.061244
dml,39,n500_eta10_share50_pc50,500,10,0.500000,100,0.500000,0.185477,0.135109,0.185477,0.135109,0.229071,0.065796,0.189154,0.065796,0.189154,0.199375,-0.009631,0.159105,-0.009631,0.159105,0.158600,0.195108,0.173667,0.195108,0.173667,0.260626,0.119682,0.138020,0.119682,0.138020,0.182161
dml,40,n1000_eta10_share50_pc50,1000,10,0.500000,100,0.500000,0.204470,0.107811,0.204470,0.107811,0.230900,0.111326,0.114158,0.111326,0.114158,0.159044,0.053999,0.095319,0.053999,0.095319,0.109136,0.150471,0.119442,0.150471,0.119442,0.191743,0.093144,0.108329,0.093144,0.108329,0.142456
dmavae,1,n500_eta1_share10_pc10,500,1,0.100000,100,0.100000,0.249745,0.171289,0.249745,0.171289,0.302356,,,,,,0.408884,0.198928,0.408884,0.198928,0.454271,-0.159139,0.211862,-0.159139,0.211862,0.264124,-0.704347,0.262921,-0.704347,0.262921,0.751360
dmavae,2,n1000_eta1_share10_pc10,1000,1,0.100000,100,0.100000,0.287609,0.181902,0.287609,0.181902,0.339819,,,,,,0.362432,0.222911,0.362432,0.222911,0.424911,-0.074823,0.224085,-0.074823,0.224085,0.235181,-0.543903,0.306114,-0.543903,0.306114,0.623377
dmavae,3,n500_eta10_share10_pc10,500,10,0.100000,100,0.100000,0.038288,0.410656,0.038288,0.410656,0.410388,,,,,,0.251848,0.440080,0.251848,0.440080,0.505134,-0.213560,0.109870,-0.213560,0.109870,0.239914,0.410402,0.319094,0.410402,0.319094,0.518876
dmavae,4,n1000_eta10_share10_pc10,1000,10,0.100000,100,0.100000,0.106771,0.210252,0.106771,0.210252,0.234870,,,,,,0.363485,0.236492,0.363485,0.236492,0.433002,-0.256714,0.165050,-0.256714,0.165050,0.304748,0.413909,0.454961,0.413909,0.454961,0.613384
dmavae,5,n500_eta1_share50_pc10,500,1,0.500000,100,0.100000,0.426241,0.211395,0.426241,0.211395,0.475313,,,,,,0.344685,0.320973,0.344685,0.320973,0.469895,0.081556,0.343218,0.081556,0.343218,0.351101,0.534164,0.332769,0.534164,0.332769,0.628458
dmavae,6,n1000_eta1_share50_pc10,1000,1,0.500000,100,0.100000,0.396472,0.145240,0.396472,0.145240,0.421988,,,,,,0.483546,0.344664,0.483546,0.344664,0.592809,-0.087074,0.327908,-0.087074,0.327908,0.337684,0.372617,0.282782,0.372617,0.282782,0.466914
dmavae,7,n500_eta10_share50_pc10,500,10,0.500000,100,0.100000,0.210028,0.269360,0.210028,0.269360,0.340501,,,,,,0.215660,0.405682,0.215660,0.405682,0.457647,-0.005632,0.380470,-0.005632,0.380470,0.378605,-0.371598,1.660156,-0.371598,1.660156,1.693116
dmavae,8,n1000_eta10_share50_pc10,1000,10,0.500000,100,0.100000,0.489457,0.241944,0.489457,0.241944,0.545454,,,,,,1.338974,0.980770,1.338974,0.980770,1.656847,-0.849516,1.031295,-0.849516,1.031295,1.332145,1.065464,0.936784,1.065464,0.936784,1.415628
dmavae,9,n500_eta1_share10_pc20,500,1,0.100000,100,0.200000,0.157905,0.163126,0.157905,0.163126,0.226446,,,,,,0.454243,0.227865,0.454243,0.227865,0.507681,-0.296338,0.225662,-0.296338,0.225662,0.371794,-0.652297,0.300030,-0.652297,0.300030,0.717363
dmavae,10,n1000_eta1_share10_pc20,1000,1,0.100000,100,0.200000,0.226741,0.185950,0.226741,0.185950,0.292648,,,,,,0.330902,0.209288,0.330902,0.209288,0.390973,-0.104162,0.209501,-0.104162,0.209501,0.233027,-0.507486,0.286324,-0.507486,0.286324,0.581982
dmavae,11,n500_eta10_share10_pc20,500,10,0.100000,100,0.200000,-0.291385,0.385787,-0.291385,0.385787,0.481922,,,,,,-0.163651,0.390009,-0.163651,0.390009,0.421150,-0.127734,0.060749,-0.127734,0.060749,0.141314,0.097190,0.166792,0.097190,0.166792,0.192321
dmavae,12,n1000_eta10_share10_pc20,1000,10,0.100000,100,0.200000,0.067154,0.126890,0.067154,0.126890,0.143003,,,,,,0.547747,0.183736,0.547747,0.183736,0.577449,-0.480593,0.205408,-0.480593,0.205408,0.522245,0.491799,0.559471,0.491799,0.559471,0.742795
dmavae,13,n500_eta1_share50_pc20,500,1,0.500000,100,0.200000,0.394777,0.202039,0.394777,0.202039,0.443013,,,,,,0.434973,0.359908,0.434973,0.359908,0.563418,-0.040196,0.377580,-0.040196,0.377580,0.377832,0.562259,0.420482,0.562259,0.420482,0.700837
dmavae,14,n1000_eta1_share50_pc20,1000,1,0.500000,100,0.200000,0.322336,0.147870,0.322336,0.147870,0.354326,,,,,,0.360602,0.320184,0.360602,0.320184,0.481172,-0.038267,0.347833,-0.038267,0.347833,0.348198,0.429762,0.258287,0.429762,0.258287,0.500740
dmavae,15,n500_eta10_share50_pc20,500,10,0.500000,100,0.200000,0.226486,0.260757,0.226486,0.260757,0.344398,,,,,,-0.024514,0.415307,-0.024514,0.415307,0.413952,0.251000,0.341906,0.251000,0.341906,0.422767,0.184489,1.552962,0.184489,1.552962,1.556152
dmavae,16,n1000_eta10_share50_pc20,1000,10,0.500000,100,0.200000,0.808514,0.182730,0.808514,0.182730,0.828704,,,,,,1.321990,1.086994,1.321990,1.086994,1.708039,-0.513476,1.079358,-0.513476,1.079358,1.190387,1.343071,1.133725,1.343071,1.133725,1.753944
dmavae,17,n500_eta1_share10_pc30,500,1,0.100000,100,0.300000,0.132395,0.173082,0.132395,0.173082,0.217224,,,,,,0.565372,0.268372,0.565372,0.268372,0.625259,-0.432977,0.214870,-0.432977,0.214870,0.482884,-0.555898,0.351677,-0.555898,0.351677,0.656858
dmavae,18,n1000_eta1_share10_pc30,1000,1,0.100000,100,0.300000,0.094679,0.183662,0.094679,0.183662,0.205812,,,,,,0.228241,0.256823,0.228241,0.256823,0.342625,-0.133561,0.212990,-0.133561,0.212990,0.250499,-0.399338,0.317771,-0.399338,0.317771,0.509352
dmavae,19,n500_eta10_share10_pc30,500,10,0.100000,100,0.300000,-0.383120,0.306049,-0.383120,0.306049,0.489398,,,,,,-0.250847,0.310979,-0.250847,0.310979,0.398328,-0.132273,0.056582,-0.132273,0.056582,0.143756,0.080211,0.175280,0.080211,0.175280,0.191962
dmavae,20,n1000_eta10_share10_pc30,1000,10,0.100000,100,0.300000,0.126397,0.177361,0.126397,0.177361,0.217068,,,,,,0.784473,0.218274,0.784473,0.218274,0.813981,-0.658077,0.180663,-0.658077,0.180663,0.682186,0.737254,0.662248,0.737254,0.662248,0.988802
dmavae,21,n500_eta1_share50_pc30,500,1,0.500000,100,0.300000,0.409997,0.176085,0.409997,0.176085,0.445863,,,,,,0.481318,0.381535,0.481318,0.381535,0.613010,-0.071321,0.371424,-0.071321,0.371424,0.376381,0.617800,0.441681,0.617800,0.441681,0.758161
dmavae,22,n1000_eta1_share50_pc30,1000,1,0.500000,100,0.300000,0.197310,0.172496,0.197310,0.172496,0.261512,,,,,,0.234897,0.307624,0.234897,0.307624,0.385827,-0.037586,0.294010,-0.037586,0.294010,0.294941,0.371915,0.308397,0.371915,0.308397,0.482160
dmavae,23,n500_eta10_share50_pc30,500,10,0.500000,100,0.300000,0.413034,0.281880,0.413034,0.281880,0.499258,,,,,,0.109061,0.549130,0.109061,0.549130,0.557155,0.303974,0.421845,0.303974,0.421845,0.518241,0.090109,1.731026,0.090109,1.731026,1.724704
dmavae,24,n1000_eta10_share50_pc30,1000,10,0.500000,100,0.300000,0.930365,0.169059,0.930365,0.169059,0.945449,,,,,,1.689812,1.468777,1.689812,1.468777,2.234099,-0.759447,1.468292,-0.759447,1.468292,1.646537,1.372868,1.321393,1.372868,1.321393,1.900891
dmavae,25,n500_eta1_share10_pc40,500,1,0.100000,100,0.400000,0.160733,0.161657,0.160733,0.161657,0.227392,,,,,,0.581809,0.234468,0.581809,0.234468,0.626839,-0.421076,0.219927,-0.421076,0.219927,0.474541,-0.398015,0.352606,-0.398015,0.352606,0.530569
dmavae,26,n1000_eta1_share10_pc40,1000,1,0.100000,100,0.400000,0.108060,0.191878,0.108060,0.191878,0.219376,,,,,,0.289107,0.244510,0.289107,0.244510,0.377849,-0.181047,0.205831,-0.181047,0.205831,0.273351,-0.262270,0.369563,-0.262270,0.369563,0.451660
dmavae,27,n500_eta10_share10_pc40,500,10,0.100000,100,0.400000,-0.362521,0.294539,-0.362521,0.294539,0.466162,,,,,,-0.215458,0.307429,-0.215458,0.307429,0.374152,-0.147063,0.063252,-0.147063,0.063252,0.159963,0.062660,0.185329,0.062660,0.185329,0.194755
dmavae,28,n1000_eta10_share10_pc40,1000,10,0.100000,100,0.400000,0.117237,0.171792,0.117237,0.171792,0.207273,,,,,,0.846005,0.244710,0.846005,0.244710,0.880346,-0.728767,0.211916,-0.728767,0.211916,0.758657,0.802645,0.568941,0.802645,0.568941,0.982190
dmavae,29,n500_eta1_share50_pc40,500,1,0.500000,100,0.400000,0.377912,0.217344,0.377912,0.217344,0.435412,,,,,,0.511163,0.383765,0.511163,0.383765,0.638036,-0.133251,0.359286,-0.133251,0.359286,0.381512,0.721422,0.407481,0.721422,0.407481,0.827544
dmavae,30,n1000_eta1_share50_pc40,1000,1,0.500000,100,0.400000,0.210310,0.154940,0.210310,0.154940,0.260762,,,,,,0.246712,0.321014,0.246712,0.321014,0.403592,-0.036401,0.306572,-0.036401,0.306572,0.307199,0.422052,0.304302,0.422052,0.304302,0.519425
dmavae,31,n500_eta10_share50_pc40,500,10,0.500000,100,0.400000,0.505957,0.263335,0.505957,0.263335,0.569776,,,,,,0.270579,0.481627,0.270579,0.481627,0.550325,0.235379,0.418484,0.235379,0.418484,0.478310,0.349800,1.346037,0.349800,1.346037,1.384217
dmavae,32,n1000_eta10_share50_pc40,1000,10,0.500000,100,0.400000,0.864161,0.215735,0.864161,0.215735,0.890422,,,,,,1.776369,1.356690,1.776369,1.356690,2.231074,-0.912208,1.360613,-0.912208,1.360613,1.632445,1.173469,1.252237,1.173469,1.252237,1.711562
dmavae,33,n500_eta1_share10_pc50,500,1,0.100000,100,0.500000,0.216687,0.172261,0.216687,0.172261,0.276279,,,,,,0.655967,0.238230,0.655967,0.238230,0.697480,-0.439280,0.238946,-0.439280,0.238946,0.499491,-0.416304,0.341241,-0.416304,0.341241,0.537205
dmavae,34,n1000_eta1_share10_pc50,1000,1,0.100000,100,0.500000,0.135523,0.156422,0.135523,0.156422,0.206372,,,,,,0.308985,0.221674,0.308985,0.221674,0.379631,-0.173462,0.192283,-0.173462,0.192283,0.258249,-0.302225,0.314094,-0.302225,0.314094,0.434751
dmavae,35,n500_eta10_share10_pc50,500,10,0.100000,100,0.500000,-0.403718,0.340726,-0.403718,0.340726,0.527183,,,,,,-0.254063,0.339448,-0.254063,0.339448,0.422635,-0.149655,0.067138,-0.149655,0.067138,0.163888,0.128208,0.211512,0.128208,0.211512,0.246429
dmavae,36,n1000_eta10_share10_pc50,1000,10,0.100000,100,0.500000,0.097164,0.186397,0.097164,0.186397,0.209374,,,,,,0.832756,0.260661,0.832756,0.260661,0.872208,-0.735592,0.205866,-0.735592,0.205866,0.763579,0.752963,0.590470,0.752963,0.590470,0.955051
dmavae,37,n500_eta1_share50_pc50,500,1,0.500000,100,0.500000,0.394641,0.171541,0.394641,0.171541,0.429969,,,,,,0.540556,0.354429,0.540556,0.354429,0.645418,-0.145915,0.358399,-0.145915,0.358399,0.385300,0.625516,0.388479,0.625516,0.388479,0.735307
dmavae,38,n1000_eta1_share50_pc50,1000,1,0.500000,100,0.500000,0.184220,0.159329,0.184220,0.159329,0.243041,,,,,,0.188635,0.325267,0.188635,0.325267,0.374598,-0.004414,0.287058,-0.004414,0.287058,0.285653,0.399694,0.281475,0.399694,0.281475,0.488048
dmavae,39,n500_eta10_share50_pc50,500,10,0.500000,100,0.500000,0.487615,0.232935,0.487615,0.232935,0.539893,,,,,,0.198971,0.585731,0.198971,0.585731,0.615825,0.288643,0.502462,0.288643,0.502462,0.577285,0.282713,1.564660,0.282713,1.564660,1.582279
dmavae,40,n1000_eta10_share50_pc50,1000,10,0.500000,100,0.500000,0.854348,0.229879,0.854348,0.229879,0.884435,,,,,,2.466358,1.304654,2.466358,1.304654,2.787118,-1.612011,1.331477,-1.612011,1.331477,2.086548,1.233245,1.824462,1.233245,1.824462,2.194599
cmavae,1,n500_eta1_share10_pc10,500,1,0.100000,100,0.100000,0.305153,0.350765,0.305153,0.350765,0.463599,,,,,,0.512088,0.357006,0.512088,0.357006,0.623228,-0.206935,0.235103,-0.206935,0.235103,0.312318,-0.407380,0.402553,-0.407380,0.402553,0.571303
cmavae,2,n1000_eta1_share10_pc10,1000,1,0.100000,100,0.100000,0.171248,0.259795,0.171248,0.259795,0.310072,,,,,,0.337628,0.225595,0.337628,0.225595,0.405434,-0.166380,0.184308,-0.166380,0.184308,0.247612,-0.371802,0.372178,-0.371802,0.372178,0.524755
cmavae,3,n500_eta10_share10_pc10,500,10,0.100000,100,0.100000,0.812115,0.348472,0.812115,0.348472,0.883034,,,,,,1.066815,0.394208,1.066815,0.394208,1.136635,-0.254700,0.121418,-0.254700,0.121418,0.281899,0.890185,0.457199,0.890185,0.457199,0.999685
cmavae,4,n1000_eta10_share10_pc10,1000,10,0.100000,100,0.100000,0.740707,0.320588,0.740707,0.320588,0.806472,,,,,,0.860220,0.301586,0.860220,0.301586,0.911056,-0.119513,0.185158,-0.119513,0.185158,0.219600,0.455928,0.367574,0.455928,0.367574,0.584491
cmavae,5,n500_eta1_share50_pc10,500,1,0.500000,100,0.100000,0.445985,0.271995,0.445985,0.271995,0.521674,,,,,,0.238792,0.373296,0.238792,0.373296,0.441563,0.207193,0.337831,0.207193,0.337831,0.394864,0.459633,0.442544,0.459633,0.442544,0.636513
cmavae,6,n1000_eta1_share50_pc10,1000,1,0.500000,100,0.100000,0.523956,0.265652,0.523956,0.265652,0.586852,,,,,,0.480429,0.353716,0.480429,0.353716,0.595547,0.043527,0.280510,0.043527,0.280510,0.282478,0.415377,0.353384,0.415377,0.353384,0.544214
cmavae,7,n500_eta10_share50_pc10,500,10,0.500000,100,0.100000,0.382688,0.379882,0.382688,0.379882,0.537883,,,,,,0.333351,0.457471,0.333351,0.457471,0.564189,0.049337,0.529626,0.049337,0.529626,0.529276,0.539611,1.684424,0.539611,1.684424,1.760708
cmavae,8,n1000_eta10_share50_pc10,1000,10,0.500000,100,0.100000,0.580315,0.401357,0.580315,0.401357,0.704444,,,,,,1.986314,0.838120,1.986314,0.838120,2.154267,-1.406000,0.784789,-1.406000,0.784789,1.608282,2.114234,1.497704,2.114234,1.497704,2.586633
