method,scenario_id,scenario,n,eta,alpha_share,n_reps,p_c,ATE_est_mean,ATE_est_sd,ATE_bias_mean,ATE_bias_sd,ATE_rmse,NDE_d1_est_mean,NDE_d1_est_sd,NDE_d1_bias_mean,NDE_d1_bias_sd,NDE_d1_rmse,NDE_d0_est_mean,NDE_d0_est_sd,NDE_d0_bias_mean,NDE_d0_bias_sd,NDE_d0_rmse,NIE_d1_est_mean,NIE_d1_est_sd,NIE_d1_bias_mean,NIE_d1_bias_sd,NIE_d1_rmse,NIE_d0_est_mean,NIE_d0_est_sd,NIE_d0_bias_mean,NIE_d0_bias_sd,NIE_d0_rmse
lsem,21,n500_eta1_share50_pc30,500,1,0.500000,100,0.300000,0.186284,0.059746,0.186284,0.059746,0.195539,-0.041723,0.077954,-0.041723,0.077954,0.088074,-0.041723,0.077954,-0.041723,0.077954,0.088074,0.228007,0.066948,0.228007,0.066948,0.237538,0.228007,0.066948,0.228007,0.066948,0.237538
lsem,22,n1000_eta1_share50_pc30,1000,1,0.500000,100,0.300000,0.180326,0.043913,0.180326,0.043913,0.185544,-0.051786,0.071442,-0.051786,0.071442,0.087947,-0.051786,0.071442,-0.051786,0.071442,0.087947,0.232112,0.062285,0.232112,0.062285,0.240243,0.232112,0.062285,0.232112,0.062285,0.240243
lsem,23,n500_eta10_share50_pc30,500,10,0.500000,100,0.300000,0.163609,0.064826,0.163609,0.064826,0.175864,-0.102827,0.097824,-0.102827,0.097824,0.141588,-0.102827,0.097824,-0.102827,0.097824,0.141588,0.266435,0.077079,0.266435,0.077079,0.277253,0.266435,0.077079,0.266435,0.077079,0.277253
lsem,24,n1000_eta10_share50_pc30,1000,10,0.500000,100,0.300000,0.180126,0.050851,0.180126,0.050851,0.187097,-0.093440,0.070248,-0.093440,0.070248,0.116689,-0.093440,0.070248,-0.093440,0.070248,0.116689,0.273566,0.059819,0.273566,0.059819,0.279966,0.273566,0.059819,0.273566,0.059819,0.279966
lsem,25,n500_eta1_share10_pc40,500,1,0.100000,100,0.400000,0.159039,0.059704,0.159039,0.059704,0.169772,-0.060432,0.087315,-0.060432,0.087315,0.105829,-0.060432,0.087315,-0.060432,0.087315,0.105829,0.219471,0.072083,0.219471,0.072083,0.230893,0.219471,0.072083,0.219471,0.072083,0.230893
lsem,26,n1000_eta1_share10_pc40,1000,1,0.100000,100,0.400000,0.183120,0.037859,0.183120,0.037859,0.186955,-0.042719,0.064328,-0.042719,0.064328,0.076952,-0.042719,0.064328,-0.042719,0.064328,0.076952,0.225839,0.050301,0.225839,0.050301,0.231319,0.225839,0.050301,0.225839,0.050301,0.231319
lsem,27,n500_eta10_share10_pc40,500,10,0.100000,100,0.400000,0.177280,0.060170,0.177280,0.060170,0.187116,-0.067138,0.092193,-0.067138,0.092193,0.113676,-0.067138,0.092193,-0.067138,0.092193,0.113676,0.244418,0.077849,0.244418,0.077849,0.256398,0.244418,0.077849,0.244418,0.077849,0.256398
lsem,28,n1000_eta10_share10_pc40,1000,10,0.100000,100,0.400000,0.174193,0.040950,0.174193,0.040950,0.178894,-0.079684,0.057954,-0.079684,0.057954,0.098359,-0.079684,0.057954,-0.079684,0.057954,0.098359,0.253877,0.052595,0.253877,0.052595,0.259214,0.253877,0.052595,0.253877,0.052595,0.259214
lsem,29,n500_eta1_share50_pc40,500,1,0.500000,100,0.400000,0.184395,0.059159,0.184395,0.059159,0.193562,-0.045858,0.088028,-0.045858,0.088028,0.098865,-0.045858,0.088028,-0.045858,0.088028,0.098865,0.230253,0.068707,0.230253,0.068707,0.240188,0.230253,0.068707,0.230253,0.068707,0.240188
lsem,30,n1000_eta1_share50_pc40,1000,1,0.500000,100,0.400000,0.181761,0.043881,0.181761,0.043881,0.186931,-0.040334,0.059297,-0.040334,0.059297,0.071469,-0.040334,0.059297,-0.040334,0.059297,0.071469,0.222095,0.046451,0.222095,0.046451,0.226853,0.222095,0.046451,0.222095,0.046451,0.226853
lsem,31,n500_eta10_share50_pc40,500,10,0.500000,100,0.400000,0.189654,0.068871,0.189654,0.068871,0.201654,-0.049214,0.092556,-0.049214,0.092556,0.104417,-0.049214,0.092556,-0.049214,0.092556,0.104417,0.238868,0.073079,0.238868,0.073079,0.249690,0.238868,0.073079,0.238868,0.073079,0.249690
lsem,32,n1000_eta10_share50_pc40,1000,10,0.500000,100,0.400000,0.184647,0.045343,0.184647,0.045343,0.190079,-0.076222,0.065308,-0.076222,0.065308,0.100162,-0.076222,0.065308,-0.076222,0.065308,0.100162,0.260869,0.053254,0.260869,0.053254,0.266196,0.260869,0.053254,0.260869,0.053254,0.266196
lsem,33,n500_eta1_share10_pc50,500,1,0.100000,100,0.500000,0.185024,0.063051,0.185024,0.063051,0.195370,-0.036924,0.084746,-0.036924,0.084746,0.092051,-0.036924,0.084746,-0.036924,0.084746,0.092051,0.221947,0.062928,0.221947,0.062928,0.230610,0.221947,0.062928,0.221947,0.062928,0.230610
lsem,34,n1000_eta1_share10_pc50,1000,1,0.100000,100,0.500000,0.186842,0.040650,0.186842,0.040650,0.191170,-0.028409,0.057248,-0.028409,0.057248,0.063652,-0.028409,0.057248,-0.028409,0.057248,0.063652,0.215251,0.043357,0.215251,0.043357,0.219531,0.215251,0.043357,0.215251,0.043357,0.219531
lsem,35,n500_eta10_share10_pc50,500,10,0.100000,100,0.500000,0.175836,0.063101,0.175836,0.063101,0.186709,-0.064570,0.085576,-0.064570,0.085576,0.106862,-0.064570,0.085576,-0.064570,0.085576,0.106862,0.240407,0.068963,0.240407,0.068963,0.250007,0.240407,0.068963,0.240407,0.068963,0.250007
lsem,36,n1000_eta10_share10_pc50,1000,10,0.100000,100,0.500000,0.181787,0.044640,0.181787,0.044640,0.187135,-0.062354,0.066876,-0.062354,0.066876,0.091191,-0.062354,0.066876,-0.062354,0.066876,0.091191,0.244142,0.056054,0.244142,0.056054,0.250431,0.244142,0.056054,0.244142,0.056054,0.250431
lsem,37,n500_eta1_share50_pc50,500,1,0.500000,100,0.500000,0.188093,0.061107,0.188093,0.061107,0.197675,-0.025783,0.086833,-0.025783,0.086833,0.090163,-0.025783,0.086833,-0.025783,0.086833,0.090163,0.213876,0.069581,0.213876,0.069581,0.224802,0.213876,0.069581,0.213876,0.069581,0.224802
lsem,38,n1000_eta1_share50_pc50,1000,1,0.500000,100,0.500000,0.178020,0.045696,0.178020,0.045696,0.183735,-0.033765,0.061081,-0.033765,0.061081,0.069524,-0.033765,0.061081,-0.033765,0.061081,0.069524,0.211785,0.043595,0.211785,0.043595,0.216181,0.211785,0.043595,0.211785,0.043595,0.216181
lsem,39,n500_eta10_share50_pc50,500,10,0.500000,100,0.500000,0.188018,0.054151,0.188018,0.054151,0.195586,-0.064051,0.087665,-0.064051,0.087665,0.108217,-0.064051,0.087665,-0.064051,0.087665,0.108217,0.252069,0.071679,0.252069,0.071679,0.261965,0.252069,0.071679,0.252069,0.071679,0.261965
lsem,40,n1000_eta10_share50_pc50,1000,10,0.500000,100,0.500000,0.181999,0.038913,0.181999,0.038913,0.186072,-0.057233,0.060313,-0.057233,0.060313,0.082927,-0.057233,0.060313,-0.057233,0.060313,0.082927,0.239233,0.049447,0.239233,0.049447,0.244239,0.239233,0.049447,0.239233,0.049447,0.244239
lsem_i,1,n500_eta1_share10_pc10,500,1,0.100000,100,0.100000,0.251183,0.101284,0.251183,0.101284,0.270645,0.280239,0.121901,0.280239,0.121901,0.305361,-0.090653,0.104705,-0.090653,0.104705,0.138100,0.341836,0.112761,0.341836,0.112761,0.359777,-0.029057,0.080231,-0.029057,0.080231,0.084952
lsem_i,2,n1000_eta1_share10_pc10,1000,1,0.100000,100,0.100000,0.251249,0.077655,0.251249,0.077655,0.262862,0.281128,0.100533,0.281128,0.100533,0.298394,-0.096863,0.070923,-0.096863,0.070923,0.119843,0.348113,0.085403,0.348113,0.085403,0.358334,-0.029879,0.057751,-0.029879,0.057751,0.064765
lsem_i,3,n500_eta10_share10_pc10,500,10,0.100000,100,0.100000,0.272648,0.113983,0.272648,0.113983,0.295295,0.317072,0.145176,0.317072,0.145176,0.348425,-0.174668,0.119290,-0.174668,0.119290,0.211179,0.447315,0.139542,0.447315,0.139542,0.468368,-0.044424,0.085342,-0.044424,0.085342,0.095833
lsem_i,4,n1000_eta10_share10_pc10,1000,10,0.100000,100,0.100000,0.295211,0.078108,0.295211,0.078108,0.305270,0.338174,0.103643,0.338174,0.103643,0.353548,-0.193455,0.087427,-0.193455,0.087427,0.212113,0.488667,0.079867,0.488667,0.079867,0.495086,-0.042962,0.066136,-0.042962,0.066136,0.078588
lsem_i,5,n500_eta1_share50_pc10,500,1,0.500000,100,0.100000,0.237961,0.100175,0.237961,0.100175,0.257992,0.277388,0.124417,0.277388,0.124417,0.303758,-0.095381,0.112832,-0.095381,0.112832,0.147314,0.333342,0.115850,0.333342,0.115850,0.352709,-0.039427,0.070205,-0.039427,0.070205,0.080212
lsem_i,6,n1000_eta1_share50_pc10,1000,1,0.500000,100,0.100000,0.262102,0.080131,0.262102,0.080131,0.273960,0.293323,0.098694,0.293323,0.098694,0.309325,-0.087878,0.076470,-0.087878,0.076470,0.116240,0.349980,0.078613,0.349980,0.078613,0.358614,-0.031221,0.055242,-0.031221,0.055242,0.063213
lsem_i,7,n500_eta10_share50_pc10,500,10,0.500000,100,0.100000,0.248964,0.111177,0.248964,0.111177,0.272433,0.306521,0.136570,0.306521,0.136570,0.335291,-0.196337,0.137904,-0.196337,0.137904,0.239532,0.445301,0.144118,0.445301,0.144118,0.467820,-0.057557,0.083618,-0.057557,0.083618,0.101167
lsem_i,8,n1000_eta10_share50_pc10,1000,10,0.500000,100,0.100000,0.283807,0.090081,0.283807,0.090081,0.297624,0.333113,0.110169,0.333113,0.110169,0.350685,-0.180859,0.088763,-0.180859,0.088763,0.201271,0.464667,0.114366,0.464667,0.114366,0.478397,-0.049305,0.065208,-0.049305,0.065208,0.081490
lsem_i,9,n500_eta1_share10_pc20,500,1,0.100000,100,0.200000,0.212770,0.085661,0.212770,0.085661,0.229206,0.250936,0.119962,0.250936,0.119962,0.277877,-0.170894,0.116832,-0.170894,0.116832,0.206683,0.383664,0.103617,0.383664,0.103617,0.397274,-0.038166,0.101246,-0.038166,0.101246,0.107726
lsem_i,10,n1000_eta1_share10_pc20,1000,1,0.100000,100,0.200000,0.214212,0.057065,0.214212,0.057065,0.221609,0.264970,0.085427,0.264970,0.085427,0.278269,-0.179767,0.091207,-0.179767,0.091207,0.201374,0.393978,0.089810,0.393978,0.089810,0.403985,-0.050758,0.064865,-0.050758,0.064865,0.082109
lsem_i,11,n500_eta10_share10_pc20,500,10,0.100000,100,0.200000,0.207694,0.085660,0.207694,0.085660,0.224502,0.288789,0.156937,0.288789,0.156937,0.328302,-0.261195,0.121314,-0.261195,0.121314,0.287737,0.468889,0.125778,0.468889,0.125778,0.485303,-0.081095,0.116834,-0.081095,0.116834,0.141740
lsem_i,12,n1000_eta10_share10_pc20,1000,10,0.100000,100,0.200000,0.218960,0.062153,0.218960,0.062153,0.227526,0.293010,0.114074,0.293010,0.114074,0.314225,-0.268200,0.110814,-0.268200,0.110814,0.289980,0.487161,0.112827,0.487161,0.112827,0.499928,-0.074049,0.090516,-0.074049,0.090516,0.116596
lsem_i,13,n500_eta1_share50_pc20,500,1,0.500000,100,0.200000,0.189235,0.092735,0.189235,0.092735,0.210532,0.251354,0.144904,0.251354,0.144904,0.289769,-0.206548,0.116974,-0.206548,0.116974,0.237082,0.395783,0.107179,0.395783,0.107179,0.409898,-0.062119,0.106171,-0.062119,0.106171,0.122550
lsem_i,14,n1000_eta1_share50_pc20,1000,1,0.500000,100,0.200000,0.211405,0.060157,0.211405,0.060157,0.219715,0.267522,0.087715,0.267522,0.087715,0.281398,-0.190994,0.086399,-0.190994,0.086399,0.209449,0.402399,0.078363,0.402399,0.078363,0.409884,-0.056117,0.073598,-0.056117,0.073598,0.092259
lsem_i,15,n500_eta10_share50_pc20,500,10,0.500000,100,0.200000,0.210576,0.078605,0.210576,0.078605,0.224631,0.284357,0.124799,0.284357,0.124799,0.310287,-0.242584,0.121895,-0.242584,0.121895,0.271214,0.453160,0.127653,0.453160,0.127653,0.470624,-0.073781,0.115709,-0.073781,0.115709,0.136741
lsem_i,16,n1000_eta10_share50_pc20,1000,10,0.500000,100,0.200000,0.210988,0.055622,0.210988,0.055622,0.218126,0.293153,0.108126,0.293153,0.108126,0.312271,-0.271456,0.101979,-0.271456,0.101979,0.289800,0.482445,0.105493,0.482445,0.105493,0.493731,-0.082164,0.086457,-0.082164,0.086457,0.118958
lsem_i,17,n500_eta1_share10_pc30,500,1,0.100000,100,0.300000,0.178091,0.064036,0.178091,0.064036,0.189145,0.227641,0.125093,0.227641,0.125093,0.259446,-0.190237,0.121323,-0.190237,0.121323,0.225305,0.368328,0.105177,0.368328,0.105177,0.382906,-0.049550,0.119244,-0.049550,0.119244,0.128577
lsem_i,18,n1000_eta1_share10_pc30,1000,1,0.100000,100,0.300000,0.190909,0.047431,0.190909,0.047431,0.196656,0.245033,0.098503,0.245033,0.098503,0.263907,-0.181704,0.083288,-0.181704,0.083288,0.199710,0.372614,0.073604,0.372614,0.073604,0.379743,-0.054123,0.082813,-0.054123,0.082813,0.098584
lsem_i,19,n500_eta10_share10_pc30,500,10,0.100000,100,0.300000,0.179218,0.068231,0.179218,0.068231,0.191646,0.270845,0.138780,0.270845,0.138780,0.304014,-0.264419,0.135146,-0.264419,0.135146,0.296647,0.443637,0.118416,0.443637,0.118416,0.459016,-0.091627,0.131851,-0.091627,0.131851,0.160020
lsem_i,20,n1000_eta10_share10_pc30,1000,10,0.100000,100,0.300000,0.191254,0.048394,0.191254,0.048394,0.197222,0.252999,0.112309,0.252999,0.112309,0.276578,-0.251326,0.098803,-0.251326,0.098803,0.269869,0.442580,0.080957,0.442580,0.080957,0.449851,-0.061745,0.102841,-0.061745,0.102841,0.119511
lsem_i,21,n500_eta1_share50_pc30,500,1,0.500000,100,0.300000,0.194871,0.059063,0.194871,0.059063,0.203539,0.232474,0.125740,0.232474,0.125740,0.264001,-0.164033,0.104380,-0.164033,0.104380,0.194147,0.358904,0.090052,0.358904,0.090052,0.369919,-0.037603,0.129685,-0.037603,0.129685,0.134402
lsem_i,22,n1000_eta1_share50_pc30,1000,1,0.500000,100,0.300000,0.188705,0.043339,0.188705,0.043339,0.193569,0.250395,0.095835,0.250395,0.095835,0.267937,-0.190399,0.091771,-0.190399,0.091771,0.211162,0.379104,0.084091,0.379104,0.084091,0.388227,-0.061690,0.090429,-0.061690,0.090429,0.109093
lsem_i,23,n500_eta10_share50_pc30,500,10,0.500000,100,0.300000,0.177405,0.064089,0.177405,0.064089,0.188518,0.232373,0.159089,0.232373,0.159089,0.281164,-0.251518,0.123517,-0.251518,0.123517,0.279938,0.428923,0.112703,0.428923,0.112703,0.443340,-0.054968,0.137439,-0.054968,0.137439,0.147384
lsem_i,24,n1000_eta10_share50_pc30,1000,10,0.500000,100,0.300000,0.190179,0.050251,0.190179,0.050251,0.196642,0.271790,0.092627,0.271790,0.092627,0.286991,-0.262632,0.088837,-0.262632,0.088837,0.277108,0.452811,0.076316,0.452811,0.076316,0.459133,-0.081612,0.088835,-0.081612,0.088835,0.120305
lsem_i,25,n500_eta1_share10_pc40,500,1,0.100000,100,0.400000,0.154542,0.059894,0.154542,0.059894,0.165634,0.187508,0.130673,0.187508,0.130673,0.228175,-0.179195,0.112245,-0.179195,0.112245,0.211149,0.333737,0.093965,0.333737,0.093965,0.346585,-0.032966,0.127652,-0.032966,0.127652,0.131221
lsem_i,26,n1000_eta1_share10_pc40,1000,1,0.100000,100,0.400000,0.179120,0.037283,0.179120,0.037283,0.182921,0.193965,0.099080,0.193965,0.099080,0.217580,-0.152931,0.078613,-0.152931,0.078613,0.171773,0.332051,0.064872,0.332051,0.064872,0.338267,-0.014845,0.093129,-0.014845,0.093129,0.093844
lsem_i,27,n500_eta10_share10_pc40,500,10,0.100000,100,0.400000,0.170802,0.061042,0.170802,0.061042,0.181280,0.231509,0.159155,0.231509,0.159155,0.280488,-0.206034,0.118120,-0.206034,0.118120,0.237198,0.376836,0.100325,0.376836,0.100325,0.389833,-0.060706,0.155065,-0.060706,0.155065,0.165801
lsem_i,28,n1000_eta10_share10_pc40,1000,10,0.100000,100,0.400000,0.168805,0.040790,0.168805,0.040790,0.173615,0.202984,0.097261,0.202984,0.097261,0.224872,-0.209791,0.079187,-0.209791,0.079187,0.224098,0.378595,0.069480,0.378595,0.069480,0.384855,-0.034179,0.099896,-0.034179,0.099896,0.105107
lsem_i,29,n500_eta1_share50_pc40,500,1,0.500000,100,0.400000,0.180214,0.059477,0.180214,0.059477,0.189682,0.196786,0.138978,0.196786,0.138978,0.240513,-0.157517,0.104525,-0.157517,0.104525,0.188753,0.337730,0.079619,0.337730,0.079619,0.346897,-0.016572,0.136839,-0.016572,0.136839,0.137158
lsem_i,30,n1000_eta1_share50_pc40,1000,1,0.500000,100,0.400000,0.177379,0.043653,0.177379,0.043653,0.182619,0.201119,0.087129,0.201119,0.087129,0.219007,-0.151859,0.071688,-0.151859,0.071688,0.167776,0.329237,0.056653,0.329237,0.056653,0.334028,-0.023740,0.083210,-0.023740,0.083210,0.086129
lsem_i,31,n500_eta10_share50_pc40,500,10,0.500000,100,0.400000,0.184829,0.070227,0.184829,0.070227,0.197596,0.229466,0.155296,0.229466,0.155296,0.276641,-0.179000,0.125828,-0.179000,0.125828,0.218438,0.363829,0.100167,0.363829,0.100167,0.377233,-0.044637,0.153619,-0.044637,0.153619,0.159234
lsem_i,32,n1000_eta10_share50_pc40,1000,10,0.500000,100,0.400000,0.180355,0.045728,0.180355,0.045728,0.186006,0.211990,0.099669,0.211990,0.099669,0.234039,-0.209502,0.093641,-0.209502,0.093641,0.229286,0.389857,0.079400,0.389857,0.079400,0.397781,-0.031635,0.098025,-0.031635,0.098025,0.102535
lsem_i,33,n500_eta1_share10_pc50,500,1,0.100000,100,0.500000,0.177721,0.064540,0.177721,0.064540,0.188967,0.175698,0.137739,0.175698,0.137739,0.222827,-0.136293,0.107645,-0.136293,0.107645,0.173342,0.314015,0.080834,0.314015,0.080834,0.324151,0.002024,0.135967,0.002024,0.135967,0.135300
lsem_i,34,n1000_eta1_share10_pc50,1000,1,0.100000,100,0.500000,0.179737,0.040898,0.179737,0.040898,0.184286,0.189364,0.096967,0.189364,0.096967,0.212526,-0.129747,0.069551,-0.129747,0.069551,0.147048,0.309484,0.055886,0.309484,0.055886,0.314440,-0.009627,0.091044,-0.009627,0.091044,0.091098
lsem_i,35,n500_eta10_share10_pc50,500,10,0.100000,100,0.500000,0.167025,0.064300,0.167025,0.064300,0.178859,0.209727,0.153637,0.209727,0.153637,0.259525,-0.188844,0.116098,-0.188844,0.116098,0.221373,0.355869,0.092885,0.355869,0.092885,0.367674,-0.042702,0.155951,-0.042702,0.155951,0.160938
lsem_i,36,n1000_eta10_share10_pc50,1000,10,0.100000,100,0.500000,0.173038,0.044966,0.173038,0.044966,0.178728,0.209984,0.126103,0.209984,0.126103,0.244614,-0.185605,0.079155,-0.185605,0.079155,0.201624,0.358643,0.068648,0.358643,0.068648,0.365089,-0.036946,0.120672,-0.036946,0.120672,0.125623
lsem_i,37,n500_eta1_share50_pc50,500,1,0.500000,100,0.500000,0.181238,0.062266,0.181238,0.062266,0.191535,0.205414,0.155288,0.205414,0.155288,0.257037,-0.132817,0.108605,-0.132817,0.108605,0.171223,0.314055,0.082746,0.314055,0.082746,0.324667,-0.024176,0.156619,-0.024176,0.156619,0.157698
lsem_i,38,n1000_eta1_share50_pc50,1000,1,0.500000,100,0.500000,0.171032,0.045994,0.171032,0.045994,0.177048,0.195952,0.092727,0.195952,0.092727,0.216586,-0.138815,0.076983,-0.138815,0.076983,0.158546,0.309847,0.055409,0.309847,0.055409,0.314714,-0.024920,0.091368,-0.024920,0.091368,0.094264
lsem_i,39,n500_eta10_share50_pc50,500,10,0.500000,100,0.500000,0.179652,0.055188,0.179652,0.055188,0.187856,0.203734,0.153765,0.203734,0.153765,0.254784,-0.183643,0.107395,-0.183643,0.107395,0.212469,0.363295,0.088263,0.363295,0.088263,0.373759,-0.024083,0.148429,-0.024083,0.148429,0.149636
