epoch,loss
0,95.7386
1,87.3669
2,80.7595
3,75.1588
4,70.1779
5,65.7343
6,61.7877
7,58.2276
8,55.0689
9,52.3388
10,49.9918
11,48.0428
12,46.2505
13,44.7185
14,43.3343
15,42.0724
16,40.9219
17,39.8799
18,39.0615
19,38.0932
20,37.3245
21,36.4972
22,35.8605
23,35.0974
24,34.5048
25,33.9874
26,33.4215
27,32.8982
28,32.4562
29,32.0026
30,31.5990
31,31.2133
32,30.9323
33,30.5386
34,30.3225
35,30.0125
36,29.7456
37,29.5458
38,29.3259
39,29.1506
40,28.9108
41,28.7841
42,28.6514
43,28.4800
44,28.3207
45,28.2728
46,28.0915
47,27.9936
48,27.9088
49,27.8582
50,27.7700
51,27.6765
52,27.6201
53,27.5501
54,27.5053
55,27.4313
56,27.4047
57,27.3374
58,27.2889
59,27.2615
60,27.1965
61,27.1990
62,27.1945
63,27.0750
64,27.0261
65,27.0110
66,26.9867
67,26.9129
68,26.9052
69,26.8968
70,26.8553
71,26.8105
72,26.8434
73,26.7318
74,26.7719
75,26.7679
76,26.7347
77,26.6949
78,26.6590
79,26.6475
80,26.5905
81,26.5820
82,26.5951
83,26.5218
84,26.5341
85,26.4760
86,26.4448
87,26.4587
88,26.4134
89,26.3434
90,26.3785
91,26.3119
92,26.2866
93,26.2618
94,26.1683
95,26.1766
96,26.0997
97,26.0977
98,26.0461
99,26.0648
100,26.0359
101,25.9585
102,25.8856
103,25.9046
104,25.9217
105,25.8048
106,25.8253
107,25.8092
108,25.6867
109,25.6835
110,25.6876
111,25.5448
112,25.5631
113,25.5781
114,25.5570
115,25.3873
116,25.3229
117,25.2989
118,25.1871
119,25.0640
120,24.9577
121,24.9173
122,24.8359
123,24.7853
124,24.7742
125,24.6448
126,24.4259
127,24.5061
128,24.4655
129,24.2791
130,24.1816
131,24.6469
132,24.0941
133,24.1731
134,23.9804
135,24.0749
136,23.7862
137,23.7661
138,23.7577
139,25.2386
140,23.6749
141,23.9863
142,23.6688
143,23.6470
144,23.4777
145,23.5239
146,23.4899
147,23.6376
148,23.3503
149,23.5150
150,23.8139
151,23.5961
152,23.2627
153,23.2766
154,23.4100
155,23.2193
156,23.3733
157,23.1676
158,23.1443
159,26.1692
160,23.0897
161,23.1005
162,23.1261
163,23.1529
164,23.0872
165,22.9713
166,22.9580
167,23.2638
168,22.8733
169,22.9762
170,22.9023
171,23.1195
172,22.8372
173,22.8919
174,22.7778
175,22.9649
176,22.8976
177,22.7931
178,22.9195
179,22.8047
180,22.7597
181,22.8963
182,22.6740
183,22.6373
184,22.6462
185,22.6750
186,22.5314
187,22.6019
188,22.6776
189,22.4976
190,22.5618
191,22.7720
192,22.4561
193,22.7193
194,22.5193
195,23.4140
196,22.5426
197,22.3181
198,22.8907
199,22.3305
200,22.4289
201,22.5010
202,22.3455
203,22.3064
204,22.2972
205,22.2715
206,22.4822
207,22.8348
208,22.3571
209,22.2314
210,22.3957
211,22.7192
212,22.1683
213,22.4018
214,22.2907
215,22.2887
216,22.2094
217,22.6439
218,22.1912
219,22.1820
220,22.1357
221,22.4029
222,22.0431
223,22.2020
224,22.1085
225,22.3566
226,22.1212
227,22.2982
228,22.0610
229,22.3583
230,22.2109
231,22.0105
232,22.0852
233,22.1361
234,22.0599
235,22.0223
236,21.9843
237,22.0844
238,22.4932
239,21.9647
240,22.4311
241,22.0673
242,22.0124
243,21.9549
244,22.1118
245,21.9282
246,21.9241
247,22.0788
248,22.0253
249,21.9118
250,21.9713
251,21.8926
252,21.8557
253,21.8725
254,21.9274
255,23.0311
256,21.8409
257,21.7746
258,21.8166
