epoch,loss
0,28.5313
1,26.5633
2,24.6938
3,23.2195
4,21.9450
5,20.7638
6,19.7008
7,18.7847
8,18.0181
9,17.3507
10,16.7163
11,16.2205
12,15.8107
13,15.4439
14,15.1906
15,14.9786
16,14.7602
17,14.6990
18,14.5953
19,14.5161
20,14.3993
21,14.3031
22,14.2389
23,14.1603
24,14.1527
25,14.0813
26,14.0601
27,13.9834
28,13.9774
29,13.8840
30,13.8543
31,13.8201
32,13.8234
33,13.7563
34,13.7142
35,13.6952
36,13.6929
37,13.6424
38,13.6201
39,13.6314
40,13.5224
41,13.4990
42,13.4968
43,13.4818
44,13.4386
45,13.3832
46,13.3097
47,13.2792
48,13.2946
49,13.1530
50,13.1284
51,13.1050
52,12.9511
53,12.9325
54,12.7836
55,12.6541
56,12.4848
57,12.4535
58,12.3124
59,12.1890
60,12.1429
61,12.2124
62,12.3195
63,11.9872
64,11.9661
65,11.9272
66,11.9227
67,11.9363
68,11.8928
69,11.8442
70,11.9384
71,12.9196
72,11.7927
73,11.8310
74,11.7684
75,11.7432
76,11.7785
77,11.6968
78,11.7207
79,11.7891
80,11.6669
81,11.6586
82,11.6452
83,11.6500
84,11.6179
85,11.5376
86,11.7241
87,11.7150
88,11.5635
89,11.6775
90,11.6355
91,11.5709
92,11.5471
93,11.4985
94,11.4574
95,11.4489
96,11.6185
97,11.6314
98,11.4673
99,11.4514
100,11.9231
101,11.4627
102,11.3335
103,11.3366
104,11.3842
105,11.2836
106,11.3404
107,11.2570
108,11.4066
109,11.3280
110,11.3794
111,11.3222
112,11.2960
113,11.2001
114,11.4232
115,11.3042
116,11.3347
117,11.1006
118,11.1642
119,11.1156
120,11.2621
121,11.2184
122,11.1384
123,11.1530
124,11.0632
125,11.1812
126,11.0637
127,11.1016
128,11.0080
129,11.1963
130,11.1808
131,10.9311
132,10.9403
133,10.9605
134,11.0965
135,11.0816
136,11.0168
137,10.9785
138,10.9963
139,10.8963
140,10.9714
141,11.0841
142,10.9218
143,10.8772
144,10.9324
145,10.9002
146,10.9161
147,10.8095
148,10.8209
149,10.8221
150,10.8301
151,10.8263
152,10.7912
153,10.8874
154,10.8554
155,10.7456
156,10.7955
157,10.7698
158,10.7580
159,13.3460
160,11.4110
161,10.7246
162,11.1601
163,10.8922
164,10.7398
165,10.7799
166,10.7661
167,10.7153
168,10.6788
169,10.6937
170,10.7944
171,10.7385
172,10.7149
173,10.6982
174,10.7164
175,10.7390
176,10.6199
177,10.7183
178,10.9667
179,10.6669
180,10.6724
181,10.6785
182,10.5663
183,10.6030
184,10.7553
185,10.6991
186,10.6281
187,10.7784
188,10.6380
189,10.6309
190,10.6616
191,10.6392
192,10.7290
193,10.5812
194,10.6735
195,10.5880
196,10.6071
197,10.5970
198,10.5773
199,10.7337
200,10.4823
201,10.5576
202,10.5602
203,10.5925
204,10.5336
205,10.6019
206,10.8474
207,10.9202
208,10.5085
209,10.4588
210,10.7040
211,10.6168
212,10.4475
213,10.5602
214,10.5270
215,10.4956
216,10.4829
217,10.5808
218,10.4147
219,10.9072
220,10.4588
221,10.8103
222,10.4652
223,11.0744
224,10.4747
225,10.4527
226,10.4516
227,10.3632
228,10.3989
229,10.5052
230,10.4760
231,10.4062
232,10.5415
233,10.4483
234,10.4301
235,10.6169
236,10.4796
237,10.4769
238,10.4636
239,10.4435
240,10.3943
241,10.4464
242,10.3998
243,10.4089
244,10.3949
245,10.3165
246,10.5294
247,10.5599
248,10.3574
249,10.3163
250,10.4036
251,10.4144
252,10.4022
253,10.4487
254,10.3360
255,10.3264
256,10.3864
257,10.4315
258,10.3043
259,10.3209
260,10.3642
261,10.6132
262,10.2993
263,10.3537
264,10.3157
265,10.3658
266,10.2982
267,10.2529
268,10.2905
269,10.2461
270,10.3997
271,10.6247
272,10.1455
273,10.3364
274,10.4979
275,10.5653
276,10.6019
277,10.2662
278,10.2441
279,10.3098
