method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10,23,500,1,0.100000,-0.062550,-0.063418,-0.063418,0.000867,0.000867,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062550,-0.063418,-0.063418,0.000867,0.000867,,,,,,
lsem_proxyX,1,n500_eta1_share10,24,500,1,0.100000,0.006822,-0.001800,-0.001800,0.008622,0.008622,0.000000,0.000000,0.000000,0.000000,0.000000,0.006822,-0.001800,-0.001800,0.008622,0.008622,,,,,,
lsem_proxyX,1,n500_eta1_share10,25,500,1,0.100000,-0.041769,-0.052760,-0.052760,0.010990,0.010990,0.000000,0.000000,0.000000,0.000000,0.000000,-0.041769,-0.052760,-0.052760,0.010990,0.010990,,,,,,
lsem_proxyX,1,n500_eta1_share10,26,500,1,0.100000,0.067548,0.072063,0.072063,-0.004515,-0.004515,0.000000,0.000000,0.000000,0.000000,0.000000,0.067548,0.072063,0.072063,-0.004515,-0.004515,,,,,,
lsem_proxyX,1,n500_eta1_share10,27,500,1,0.100000,-0.047670,-0.052866,-0.052866,0.005196,0.005196,0.000000,0.000000,0.000000,0.000000,0.000000,-0.047670,-0.052866,-0.052866,0.005196,0.005196,,,,,,
lsem_proxyX,1,n500_eta1_share10,28,500,1,0.100000,0.064851,0.064697,0.064697,0.000153,0.000153,0.000000,0.000000,0.000000,0.000000,0.000000,0.064851,0.064697,0.064697,0.000153,0.000153,,,,,,
lsem_proxyX,1,n500_eta1_share10,29,500,1,0.100000,0.069080,0.068951,0.068951,0.000130,0.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.069080,0.068951,0.068951,0.000130,0.000130,,,,,,
lsem_proxyX,1,n500_eta1_share10,30,500,1,0.100000,0.004725,0.006401,0.006401,-0.001676,-0.001676,0.000000,0.000000,0.000000,0.000000,0.000000,0.004725,0.006401,0.006401,-0.001676,-0.001676,,,,,,
lsem_proxyX,1,n500_eta1_share10,31,500,1,0.100000,-0.110358,-0.110806,-0.110806,0.000448,0.000448,0.000000,0.000000,0.000000,0.000000,0.000000,-0.110358,-0.110806,-0.110806,0.000448,0.000448,,,,,,
lsem_proxyX,1,n500_eta1_share10,32,500,1,0.100000,0.071086,0.071538,0.071538,-0.000452,-0.000452,0.000000,0.000000,0.000000,0.000000,0.000000,0.071086,0.071538,0.071538,-0.000452,-0.000452,,,,,,
lsem_proxyX,1,n500_eta1_share10,33,500,1,0.100000,0.063341,0.065241,0.065241,-0.001900,-0.001900,0.000000,0.000000,0.000000,0.000000,0.000000,0.063341,0.065241,0.065241,-0.001900,-0.001900,,,,,,
lsem_proxyX,1,n500_eta1_share10,34,500,1,0.100000,-0.067365,-0.068375,-0.068375,0.001011,0.001011,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067365,-0.068375,-0.068375,0.001011,0.001011,,,,,,
lsem_proxyX,1,n500_eta1_share10,35,500,1,0.100000,-0.043988,-0.040761,-0.040761,-0.003227,-0.003227,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043988,-0.040761,-0.040761,-0.003227,-0.003227,,,,,,
lsem_proxyX,1,n500_eta1_share10,36,500,1,0.100000,-0.049392,-0.050257,-0.050257,0.000865,0.000865,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049392,-0.050257,-0.050257,0.000865,0.000865,,,,,,
lsem_proxyX,1,n500_eta1_share10,37,500,1,0.100000,0.032605,0.024132,0.024132,0.008473,0.008473,0.000000,0.000000,0.000000,0.000000,0.000000,0.032605,0.024132,0.024132,0.008473,0.008473,,,,,,
lsem_proxyX,1,n500_eta1_share10,38,500,1,0.100000,-0.030228,-0.023717,-0.023717,-0.006511,-0.006511,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030228,-0.023717,-0.023717,-0.006511,-0.006511,,,,,,
lsem_proxyX,1,n500_eta1_share10,39,500,1,0.100000,0.039813,0.038676,0.038676,0.001137,0.001137,0.000000,0.000000,0.000000,0.000000,0.000000,0.039813,0.038676,0.038676,0.001137,0.001137,,,,,,
lsem_proxyX,1,n500_eta1_share10,40,500,1,0.100000,-0.118872,-0.118790,-0.118790,-0.000082,-0.000082,0.000000,0.000000,0.000000,0.000000,0.000000,-0.118872,-0.118790,-0.118790,-0.000082,-0.000082,,,,,,
lsem_proxyX,1,n500_eta1_share10,41,500,1,0.100000,-0.042792,-0.043135,-0.043135,0.000342,0.000342,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042792,-0.043135,-0.043135,0.000342,0.000342,,,,,,
lsem_proxyX,1,n500_eta1_share10,42,500,1,0.100000,0.046898,0.041367,0.041367,0.005531,0.005531,0.000000,0.000000,0.000000,0.000000,0.000000,0.046898,0.041367,0.041367,0.005531,0.005531,,,,,,
lsem_proxyX,1,n500_eta1_share10,43,500,1,0.100000,0.029423,0.027587,0.027587,0.001836,0.001836,0.000000,0.000000,0.000000,0.000000,0.000000,0.029423,0.027587,0.027587,0.001836,0.001836,,,,,,
lsem_proxyX,1,n500_eta1_share10,44,500,1,0.100000,0.038722,0.033766,0.033766,0.004956,0.004956,0.000000,0.000000,0.000000,0.000000,0.000000,0.038722,0.033766,0.033766,0.004956,0.004956,,,,,,
lsem_proxyX,1,n500_eta1_share10,45,500,1,0.100000,-0.015846,-0.015425,-0.015425,-0.000421,-0.000421,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015846,-0.015425,-0.015425,-0.000421,-0.000421,,,,,,
lsem_proxyX,1,n500_eta1_share10,46,500,1,0.100000,0.069171,0.074163,0.074163,-0.004992,-0.004992,0.000000,0.000000,0.000000,0.000000,0.000000,0.069171,0.074163,0.074163,-0.004992,-0.004992,,,,,,
lsem_proxyX,1,n500_eta1_share10,47,500,1,0.100000,0.042526,0.041449,0.041449,0.001077,0.001077,0.000000,0.000000,0.000000,0.000000,0.000000,0.042526,0.041449,0.041449,0.001077,0.001077,,,,,,
lsem_proxyX,1,n500_eta1_share10,48,500,1,0.100000,0.062372,0.064155,0.064155,-0.001782,-0.001782,0.000000,0.000000,0.000000,0.000000,0.000000,0.062372,0.064155,0.064155,-0.001782,-0.001782,,,,,,
lsem_proxyX,1,n500_eta1_share10,49,500,1,0.100000,0.054964,0.064465,0.064465,-0.009501,-0.009501,0.000000,0.000000,0.000000,0.000000,0.000000,0.054964,0.064465,0.064465,-0.009501,-0.009501,,,,,,
lsem_proxyX,1,n500_eta1_share10,50,500,1,0.100000,-0.123024,-0.125518,-0.125518,0.002494,0.002494,0.000000,0.000000,0.000000,0.000000,0.000000,-0.123024,-0.125518,-0.125518,0.002494,0.002494,,,,,,
lsem_proxyX,1,n500_eta1_share10,51,500,1,0.100000,0.058890,0.061558,0.061558,-0.002668,-0.002668,0.000000,0.000000,0.000000,0.000000,0.000000,0.058890,0.061558,0.061558,-0.002668,-0.002668,,,,,,
lsem_proxyX,1,n500_eta1_share10,52,500,1,0.100000,0.060041,0.062957,0.062957,-0.002916,-0.002916,0.000000,0.000000,0.000000,0.000000,0.000000,0.060041,0.062957,0.062957,-0.002916,-0.002916,,,,,,
lsem_proxyX,1,n500_eta1_share10,53,500,1,0.100000,0.129678,0.130202,0.130202,-0.000524,-0.000524,0.000000,0.000000,0.000000,0.000000,0.000000,0.129678,0.130202,0.130202,-0.000524,-0.000524,,,,,,
lsem_proxyX,1,n500_eta1_share10,54,500,1,0.100000,-0.036774,-0.034152,-0.034152,-0.002622,-0.002622,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036774,-0.034152,-0.034152,-0.002622,-0.002622,,,,,,
lsem_proxyX,1,n500_eta1_share10,55,500,1,0.100000,-0.074319,-0.072506,-0.072506,-0.001813,-0.001813,0.000000,0.000000,0.000000,0.000000,0.000000,-0.074319,-0.072506,-0.072506,-0.001813,-0.001813,,,,,,
lsem_proxyX,1,n500_eta1_share10,56,500,1,0.100000,0.019824,0.021088,0.021088,-0.001264,-0.001264,0.000000,0.000000,0.000000,0.000000,0.000000,0.019824,0.021088,0.021088,-0.001264,-0.001264,,,,,,
lsem_proxyX,1,n500_eta1_share10,57,500,1,0.100000,0.119146,0.119880,0.119880,-0.000734,-0.000734,0.000000,0.000000,0.000000,0.000000,0.000000,0.119146,0.119880,0.119880,-0.000734,-0.000734,,,,,,
lsem_proxyX,1,n500_eta1_share10,58,500,1,0.100000,0.041731,0.038352,0.038352,0.003379,0.003379,0.000000,0.000000,0.000000,0.000000,0.000000,0.041731,0.038352,0.038352,0.003379,0.003379,,,,,,
lsem_proxyX,1,n500_eta1_share10,59,500,1,0.100000,-0.037867,-0.038463,-0.038463,0.000596,0.000596,0.000000,0.000000,0.000000,0.000000,0.000000,-0.037867,-0.038463,-0.038463,0.000596,0.000596,,,,,,
lsem_proxyX,1,n500_eta1_share10,60,500,1,0.100000,-0.020517,-0.019052,-0.019052,-0.001465,-0.001465,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020517,-0.019052,-0.019052,-0.001465,-0.001465,,,,,,
lsem_proxyX,1,n500_eta1_share10,61,500,1,0.100000,0.033555,0.055871,0.055871,-0.022315,-0.022315,0.000000,0.000000,0.000000,0.000000,0.000000,0.033555,0.055871,0.055871,-0.022315,-0.022315,,,,,,
lsem_proxyX,1,n500_eta1_share10,62,500,1,0.100000,-0.010172,-0.001620,-0.001620,-0.008552,-0.008552,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010172,-0.001620,-0.001620,-0.008552,-0.008552,,,,,,
lsem_proxyX,1,n500_eta1_share10,63,500,1,0.100000,-0.059279,-0.058509,-0.058509,-0.000770,-0.000770,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059279,-0.058509,-0.058509,-0.000770,-0.000770,,,,,,
lsem_proxyX,1,n500_eta1_share10,64,500,1,0.100000,0.001040,-0.001994,-0.001994,0.003034,0.003034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001040,-0.001994,-0.001994,0.003034,0.003034,,,,,,
lsem_proxyX,1,n500_eta1_share10,65,500,1,0.100000,0.058645,0.053175,0.053175,0.005470,0.005470,0.000000,0.000000,0.000000,0.000000,0.000000,0.058645,0.053175,0.053175,0.005470,0.005470,,,,,,
lsem_proxyX,1,n500_eta1_share10,66,500,1,0.100000,0.029796,0.030288,0.030288,-0.000492,-0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0.029796,0.030288,0.030288,-0.000492,-0.000492,,,,,,
lsem_proxyX,1,n500_eta1_share10,67,500,1,0.100000,-0.091055,-0.093072,-0.093072,0.002017,0.002017,0.000000,0.000000,0.000000,0.000000,0.000000,-0.091055,-0.093072,-0.093072,0.002017,0.002017,,,,,,
lsem_proxyX,1,n500_eta1_share10,68,500,1,0.100000,-0.059400,-0.060028,-0.060028,0.000627,0.000627,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059400,-0.060028,-0.060028,0.000627,0.000627,,,,,,
lsem_proxyX,1,n500_eta1_share10,69,500,1,0.100000,0.034716,0.035802,0.035802,-0.001086,-0.001086,0.000000,0.000000,0.000000,0.000000,0.000000,0.034716,0.035802,0.035802,-0.001086,-0.001086,,,,,,
lsem_proxyX,1,n500_eta1_share10,70,500,1,0.100000,0.039779,0.035406,0.035406,0.004372,0.004372,0.000000,0.000000,0.000000,0.000000,0.000000,0.039779,0.035406,0.035406,0.004372,0.004372,,,,,,
lsem_proxyX,1,n500_eta1_share10,71,500,1,0.100000,0.068187,0.070130,0.070130,-0.001943,-0.001943,0.000000,0.000000,0.000000,0.000000,0.000000,0.068187,0.070130,0.070130,-0.001943,-0.001943,,,,,,
lsem_proxyX,1,n500_eta1_share10,72,500,1,0.100000,-0.010618,-0.009842,-0.009842,-0.000776,-0.000776,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010618,-0.009842,-0.009842,-0.000776,-0.000776,,,,,,
lsem_proxyX,1,n500_eta1_share10,73,500,1,0.100000,0.004947,0.004577,0.004577,0.000370,0.000370,0.000000,0.000000,0.000000,0.000000,0.000000,0.004947,0.004577,0.004577,0.000370,0.000370,,,,,,
lsem_proxyX,1,n500_eta1_share10,74,500,1,0.100000,-0.042285,-0.051688,-0.051688,0.009403,0.009403,0.000000,0.000000,0.000000,0.000000,0.000000,-0.042285,-0.051688,-0.051688,0.009403,0.009403,,,,,,
lsem_proxyX,1,n500_eta1_share10,75,500,1,0.100000,0.098197,0.104069,0.104069,-0.005872,-0.005872,0.000000,0.000000,0.000000,0.000000,0.000000,0.098197,0.104069,0.104069,-0.005872,-0.005872,,,,,,
lsem_proxyX,1,n500_eta1_share10,76,500,1,0.100000,0.051868,0.052656,0.052656,-0.000788,-0.000788,0.000000,0.000000,0.000000,0.000000,0.000000,0.051868,0.052656,0.052656,-0.000788,-0.000788,,,,,,
lsem_proxyX,1,n500_eta1_share10,77,500,1,0.100000,-0.040106,-0.035269,-0.035269,-0.004837,-0.004837,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040106,-0.035269,-0.035269,-0.004837,-0.004837,,,,,,
lsem_proxyX,1,n500_eta1_share10,78,500,1,0.100000,-0.043979,-0.043310,-0.043310,-0.000669,-0.000669,0.000000,0.000000,0.000000,0.000000,0.000000,-0.043979,-0.043310,-0.043310,-0.000669,-0.000669,,,,,,
lsem_proxyX,1,n500_eta1_share10,79,500,1,0.100000,-0.019049,-0.023953,-0.023953,0.004904,0.004904,0.000000,0.000000,0.000000,0.000000,0.000000,-0.019049,-0.023953,-0.023953,0.004904,0.004904,,,,,,
lsem_proxyX,1,n500_eta1_share10,80,500,1,0.100000,-0.070303,-0.071170,-0.071170,0.000867,0.000867,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070303,-0.071170,-0.071170,0.000867,0.000867,,,,,,
lsem_proxyX,1,n500_eta1_share10,81,500,1,0.100000,-0.037088,-0.035634,-0.035634,-0.001454,-0.001454,0.000000,0.000000,0.000000,0.000000,0.000000,-0.037088,-0.035634,-0.035634,-0.001454,-0.001454,,,,,,
lsem_proxyX,1,n500_eta1_share10,82,500,1,0.100000,0.007626,0.007657,0.007657,-0.000032,-0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.007626,0.007657,0.007657,-0.000032,-0.000032,,,,,,
